Merchant_ID,TOTAL,PERIOD,Date
870346,-2630021.59,180326MARRE,19-Mar-26
1132467,-114037.51,180326MARRE,19-Mar-26
861243,-71238.75,180326MARRE,19-Mar-26
28657,-32734.44,180326MARRE,19-Mar-26
1172568,-31874.04,180326MARRE,19-Mar-26
694225,-31394.32,180326MARRE,19-Mar-26
976844,-24269.14,180326MARRE,19-Mar-26
80681,-20670.76,180326MARRE,19-Mar-26
1246613,-20496.52,180326MARRE,19-Mar-26
1224475,-18340.09,180326MARRE,19-Mar-26
1166011,-17627.37,180326MARRE,19-Mar-26
1188048,-16086.1,180326MARRE,19-Mar-26
22764,-14981.73,180326MARRE,19-Mar-26
1058703,-13199.3,180326MARRE,19-Mar-26
57206,-12499.69,180326MARRE,19-Mar-26
77338,-12065.68,180326MARRE,19-Mar-26
115745,-11756.5,180326MARRE,19-Mar-26
1180927,-11057.69,180326MARRE,19-Mar-26
1230880,-10749.19,180326MARRE,19-Mar-26
1180437,-10073.79,180326MARRE,19-Mar-26
1190668,-9349.79,180326MARRE,19-Mar-26
590894,-9300.02,180326MARRE,19-Mar-26
222802,-8835.12,180326MARRE,19-Mar-26
241085,-8584,180326MARRE,19-Mar-26
95227,-8495.76,180326MARRE,19-Mar-26
5.45214E+12,-8370.02,180326MARRE,19-Mar-26
1217081,-8236.94,180326MARRE,19-Mar-26
1181075,-7954.28,180326MARRE,19-Mar-26
1216567,-7900.63,180326MARRE,19-Mar-26
1225411,-7882.45,180326MARRE,19-Mar-26
1234588,-7875.99,180326MARRE,19-Mar-26
1260727,-7776.43,180326MARRE,19-Mar-26
1178938,-7646.36,180326MARRE,19-Mar-26
57203,-7644.93,180326MARRE,19-Mar-26
1258994,-7622.1,180326MARRE,19-Mar-26
57210,-7598.56,180326MARRE,19-Mar-26
745712,-6990.63,180326MARRE,19-Mar-26
76128,-6833.46,180326MARRE,19-Mar-26
1216842,-6553.12,180326MARRE,19-Mar-26
1190473,-6366.29,180326MARRE,19-Mar-26
57206,-6309.6,180326MARRE,19-Mar-26
1190118,-6227.81,180326MARRE,19-Mar-26
1183423,-6118.39,180326MARRE,19-Mar-26
1217083,-5928.3,180326MARRE,19-Mar-26
336727,-5807.5,180326MARRE,19-Mar-26
1263663,-5804.5,180326MARRE,19-Mar-26
1174464,-5771.56,180326MARRE,19-Mar-26
1224457,-5770.31,180326MARRE,19-Mar-26
1189882,-5741.04,180326MARRE,19-Mar-26
1190994,-5445.89,180326MARRE,19-Mar-26
362067,-5315,180326MARRE,19-Mar-26
81037,-5137.52,180326MARRE,19-Mar-26
1184242,-4897.89,180326MARRE,19-Mar-26
209266,-4765.06,180326MARRE,19-Mar-26
1181442,-4675.5,180326MARRE,19-Mar-26
98733,-4544.56,180326MARRE,19-Mar-26
859143,-4400,180326MARRE,19-Mar-26
90753,-4326.61,180326MARRE,19-Mar-26
57191,-4212.6,180326MARRE,19-Mar-26
25316,-3954.75206,180326MARRE,19-Mar-26
1216597,-3934.32,180326MARRE,19-Mar-26
275042,-3837.5,180326MARRE,19-Mar-26
1238088,-3802.58,180326MARRE,19-Mar-26
101044,-3603.64,180326MARRE,19-Mar-26
844400,-3592.98,180326MARRE,19-Mar-26
1174464,-3519.03,180326MARRE,19-Mar-26
1257362,-3351.02,180326MARRE,19-Mar-26
1190575,-3342.43,180326MARRE,19-Mar-26
1179888,-3315.37,180326MARRE,19-Mar-26
1231199,-3312.32,180326MARRE,19-Mar-26
1456659,-3292,180326MARRE,19-Mar-26
57193,-3274.46,180326MARRE,19-Mar-26
1227493,-3259.62,180326MARRE,19-Mar-26
1217223,-3159.88,180326MARRE,19-Mar-26
1183428,-3157.35,180326MARRE,19-Mar-26
1178801,-3142.05,180326MARRE,19-Mar-26
682574,-3094.44,180326MARRE,19-Mar-26
74669,-3091.7,180326MARRE,19-Mar-26
1186538,-3054.89,180326MARRE,19-Mar-26
1225387,-3011.2,180326MARRE,19-Mar-26
1187998,-2991.44,180326MARRE,19-Mar-26
307160,-2990,180326MARRE,19-Mar-26
248947,-2960,180326MARRE,19-Mar-26
1212014,-2956.62,180326MARRE,19-Mar-26
1212002,-2905.31,180326MARRE,19-Mar-26
1257669,-2903,180326MARRE,19-Mar-26
97556,-2877.5,180326MARRE,19-Mar-26
1211879,-2868.17,180326MARRE,19-Mar-26
1190089,-2814.53,180326MARRE,19-Mar-26
1191252,-2775.77,180326MARRE,19-Mar-26
227263,-2743.73,180326MARRE,19-Mar-26
1234892,-2742.08,180326MARRE,19-Mar-26
1229955,-2733.44,180326MARRE,19-Mar-26
1191543,-2698.79,180326MARRE,19-Mar-26
523061,-2697.5,180326MARRE,19-Mar-26
1257170,-2674.32,180326MARRE,19-Mar-26
837902,-2575.2,180326MARRE,19-Mar-26
122222,-2507.54,180326MARRE,19-Mar-26
203069,-2507.54,180326MARRE,19-Mar-26
254561,-2507.54,180326MARRE,19-Mar-26
244411,-2507.5,180326MARRE,19-Mar-26
335973,-2507.5,180326MARRE,19-Mar-26
421200,-2507.5,180326MARRE,19-Mar-26
444382,-2507.5,180326MARRE,19-Mar-26
444810,-2507.5,180326MARRE,19-Mar-26
550836,-2507.5,180326MARRE,19-Mar-26
577336,-2507.5,180326MARRE,19-Mar-26
64815,-2494.52,180326MARRE,19-Mar-26
1194344,-2469.6,180326MARRE,19-Mar-26
1285280,-2462.72,180326MARRE,19-Mar-26
1186122,-2441,180326MARRE,19-Mar-26
320056,-2387.5,180326MARRE,19-Mar-26
275283,-2385,180326MARRE,19-Mar-26
1230875,-2375.35,180326MARRE,19-Mar-26
1225823,-2371.32,180326MARRE,19-Mar-26
1188856,-2356.26,180326MARRE,19-Mar-26
1186073,-2296.98,180326MARRE,19-Mar-26
226991,-2279.2,180326MARRE,19-Mar-26
187922,-2270,180326MARRE,19-Mar-26
228975,-2257.5,180326MARRE,19-Mar-26
301019,-2257.5,180326MARRE,19-Mar-26
336458,-2257.5,180326MARRE,19-Mar-26
485228,-2257.5,180326MARRE,19-Mar-26
522747,-2257.5,180326MARRE,19-Mar-26
1193787,-2154.91,180326MARRE,19-Mar-26
966514,-2145.92,180326MARRE,19-Mar-26
336823,-2137.5,180326MARRE,19-Mar-26
1191631,-2124.4,180326MARRE,19-Mar-26
318287,-2120,180326MARRE,19-Mar-26
388571,-2120,180326MARRE,19-Mar-26
518758,-2120,180326MARRE,19-Mar-26
1190512,-2075.85,180326MARRE,19-Mar-26
57194,-2072.89,180326MARRE,19-Mar-26
303405,-2007.5,180326MARRE,19-Mar-26
1229060,-2005.27,180326MARRE,19-Mar-26
1185401,-1962.92,180326MARRE,19-Mar-26
335879,-1932.54,180326MARRE,19-Mar-26
1258009,-1926.72,180326MARRE,19-Mar-26
1221975,-1919.64,180326MARRE,19-Mar-26
1335227,-1870,180326MARRE,19-Mar-26
1220101,-1819.53,180326MARRE,19-Mar-26
1186831,-1812.37,180326MARRE,19-Mar-26
1230149,-1809.55,180326MARRE,19-Mar-26
26485,-1774.15,180326MARRE,19-Mar-26
1216083,-1748.38,180326MARRE,19-Mar-26
1213944,-1742.74,180326MARRE,19-Mar-26
1212695,-1740.92,180326MARRE,19-Mar-26
1184139,-1724.87,180326MARRE,19-Mar-26
385364,-1720,180326MARRE,19-Mar-26
1216652,-1704.15,180326MARRE,19-Mar-26
1190736,-1703.21,180326MARRE,19-Mar-26
57209,-1702.53,180326MARRE,19-Mar-26
1216500,-1700.63,180326MARRE,19-Mar-26
328936,-1700,180326MARRE,19-Mar-26
42376,-1686.77,180326MARRE,19-Mar-26
61232,-1627.91,180326MARRE,19-Mar-26
20915,-1625.53,180326MARRE,19-Mar-26
1215412,-1622.28,180326MARRE,19-Mar-26
445026,-1620,180326MARRE,19-Mar-26
1227264,-1600.64,180326MARRE,19-Mar-26
1213943,-1559.24,180326MARRE,19-Mar-26
615867,-1547.48,180326MARRE,19-Mar-26
108205,-1534,180326MARRE,19-Mar-26
1191438,-1528.19,180326MARRE,19-Mar-26
1182504,-1523.1,180326MARRE,19-Mar-26
1220573,-1517.83,180326MARRE,19-Mar-26
1193354,-1496.37,180326MARRE,19-Mar-26
1224396,-1486.78,180326MARRE,19-Mar-26
1179572,-1463,180326MARRE,19-Mar-26
168066,-1457.52,180326MARRE,19-Mar-26
1191583,-1436.91,180326MARRE,19-Mar-26
20256,-1426.569176,180326MARRE,19-Mar-26
234289,-1420.02,180326MARRE,19-Mar-26
234434,-1420.02,180326MARRE,19-Mar-26
234505,-1420.02,180326MARRE,19-Mar-26
1189140,-1415.27,180326MARRE,19-Mar-26
1191632,-1406.45,180326MARRE,19-Mar-26
1186212,-1401.15,180326MARRE,19-Mar-26
1220442,-1388.92,180326MARRE,19-Mar-26
1311381,-1384.95,180326MARRE,19-Mar-26
1221632,-1384.21,180326MARRE,19-Mar-26
23299,-1381.765372,180326MARRE,19-Mar-26
1191192,-1369.16,180326MARRE,19-Mar-26
1191470,-1356.92,180326MARRE,19-Mar-26
525211,-1320,180326MARRE,19-Mar-26
309216,-1300,180326MARRE,19-Mar-26
1178179,-1278.39,180326MARRE,19-Mar-26
1181063,-1271.29,180326MARRE,19-Mar-26
1267385,-1270.34,180326MARRE,19-Mar-26
1187665,-1269.21,180326MARRE,19-Mar-26
1211884,-1261.88,180326MARRE,19-Mar-26
1191063,-1255.3,180326MARRE,19-Mar-26
57178,-1244.93,180326MARRE,19-Mar-26
1181306,-1224,180326MARRE,19-Mar-26
321261,-1220,180326MARRE,19-Mar-26
1219786,-1200.72,180326MARRE,19-Mar-26
536269,-1200,180326MARRE,19-Mar-26
57198,-1198.06312,180326MARRE,19-Mar-26
1229003,-1185.66,180326MARRE,19-Mar-26
36570,-1174.39,180326MARRE,19-Mar-26
1221835,-1169.66,180326MARRE,19-Mar-26
1271599,-1163.04,180326MARRE,19-Mar-26
1416051,-1159.72,180326MARRE,19-Mar-26
356071,-1157.5,180326MARRE,19-Mar-26
1220397,-1147.08,180326MARRE,19-Mar-26
1272335,-1143.3,180326MARRE,19-Mar-26
1190005,-1110.37,180326MARRE,19-Mar-26
1191530,-1106.39,180326MARRE,19-Mar-26
1221442,-1089.68,180326MARRE,19-Mar-26
1224933,-1085.24,180326MARRE,19-Mar-26
1222037,-1082.15,180326MARRE,19-Mar-26
1190404,-1073.69,180326MARRE,19-Mar-26
976948,-1061.52,180326MARRE,19-Mar-26
141,-1059.922608,180326MARRE,19-Mar-26
1219617,-1050.16,180326MARRE,19-Mar-26
1193791,-1039.79,180326MARRE,19-Mar-26
1225847,-1039.79,180326MARRE,19-Mar-26
1181484,-1027.75,180326MARRE,19-Mar-26
1180062,-1018.16,180326MARRE,19-Mar-26
158522,-1001.22,180326MARRE,19-Mar-26
111306,-982.22,180326MARRE,19-Mar-26
1253989,-980.06,180326MARRE,19-Mar-26
1225061,-977.7,180326MARRE,19-Mar-26
1211811,-964.52,180326MARRE,19-Mar-26
1190123,-962.68,180326MARRE,19-Mar-26
1191377,-961.7,180326MARRE,19-Mar-26
1190090,-960.76,180326MARRE,19-Mar-26
1216786,-948.53,180326MARRE,19-Mar-26
1282941,-943.82,180326MARRE,19-Mar-26
1227222,-941.94,180326MARRE,19-Mar-26
1189908,-936.6,180326MARRE,19-Mar-26
1276712,-936.19,180326MARRE,19-Mar-26
296336,-920,180326MARRE,19-Mar-26
461060,-920,180326MARRE,19-Mar-26
497274,-920,180326MARRE,19-Mar-26
563736,-920,180326MARRE,19-Mar-26
1179514,-915.56,180326MARRE,19-Mar-26
65283,-913.12,180326MARRE,19-Mar-26
1235691,-911.06,180326MARRE,19-Mar-26
1190079,-906.27,180326MARRE,19-Mar-26
302648,-900,180326MARRE,19-Mar-26
575348,-900,180326MARRE,19-Mar-26
1231429,-898.04,180326MARRE,19-Mar-26
1277053,-888.39,180326MARRE,19-Mar-26
1178423,-886.8,180326MARRE,19-Mar-26
95220,-885,180326MARRE,19-Mar-26
1133625,-882,180326MARRE,19-Mar-26
32261,-874.9876,180326MARRE,19-Mar-26
1231522,-873.45,180326MARRE,19-Mar-26
1230751,-867.6,180326MARRE,19-Mar-26
1181484,-855.01,180326MARRE,19-Mar-26
1183314,-845.96,180326MARRE,19-Mar-26
1216850,-839.37,180326MARRE,19-Mar-26
147438,-838.48,180326MARRE,19-Mar-26
25485,-834.69,180326MARRE,19-Mar-26
195454,-828.36,180326MARRE,19-Mar-26
1224558,-827.14,180326MARRE,19-Mar-26
586762,-820,180326MARRE,19-Mar-26
1170362,-814.98,180326MARRE,19-Mar-26
35340,-809.91,180326MARRE,19-Mar-26
320789,-807.5,180326MARRE,19-Mar-26
338503,-807.5,180326MARRE,19-Mar-26
1235902,-801.48,180326MARRE,19-Mar-26
1230901,-800.85,180326MARRE,19-Mar-26
333383,-800,180326MARRE,19-Mar-26
390007,-800,180326MARRE,19-Mar-26
1189426,-796.66,180326MARRE,19-Mar-26
529085,-793.5,180326MARRE,19-Mar-26
1259425,-790.44,180326MARRE,19-Mar-26
1192347,-788,180326MARRE,19-Mar-26
1215440,-782.92,180326MARRE,19-Mar-26
1234513,-782.92,180326MARRE,19-Mar-26
1180534,-767.04,180326MARRE,19-Mar-26
478743,-757.5,180326MARRE,19-Mar-26
1220720,-753.74,180326MARRE,19-Mar-26
1221928,-744.33,180326MARRE,19-Mar-26
150,-742,180326MARRE,19-Mar-26
1225065,-725.51,180326MARRE,19-Mar-26
1186774,-721.79,180326MARRE,19-Mar-26
1277053,-721.53,180326MARRE,19-Mar-26
61781,-720.05,180326MARRE,19-Mar-26
1215518,-713.91,180326MARRE,19-Mar-26
144383,-700,180326MARRE,19-Mar-26
1180227,-689.34,180326MARRE,19-Mar-26
1189654,-688.81,180326MARRE,19-Mar-26
1253177,-670.34,180326MARRE,19-Mar-26
1179403,-670.32,180326MARRE,19-Mar-26
1181001,-670.21,180326MARRE,19-Mar-26
592048,-670,180326MARRE,19-Mar-26
1229464,-669.99,180326MARRE,19-Mar-26
1186642,-668.67,180326MARRE,19-Mar-26
1216769,-664.35,180326MARRE,19-Mar-26
24636,-661.87,180326MARRE,19-Mar-26
1232443,-656.24,180326MARRE,19-Mar-26
1229757,-644.59,180326MARRE,19-Mar-26
1230633,-643.65,180326MARRE,19-Mar-26
1257613,-629.52,180326MARRE,19-Mar-26
1231232,-628.6,180326MARRE,19-Mar-26
290325,-627.87,180326MARRE,19-Mar-26
256415,-620,180326MARRE,19-Mar-26
377494,-620,180326MARRE,19-Mar-26
491581,-620,180326MARRE,19-Mar-26
571481,-620,180326MARRE,19-Mar-26
577244,-620,180326MARRE,19-Mar-26
1253992,-615.72,180326MARRE,19-Mar-26
1272245,-610.71,180326MARRE,19-Mar-26
1182419,-607.24,180326MARRE,19-Mar-26
506875,-605.97,180326MARRE,19-Mar-26
1220330,-592.85,180326MARRE,19-Mar-26
1228171,-579.88,180326MARRE,19-Mar-26
264470,-557.5,180326MARRE,19-Mar-26
376480,-557.5,180326MARRE,19-Mar-26
507551,-557.5,180326MARRE,19-Mar-26
566480,-557.5,180326MARRE,19-Mar-26
581198,-557.5,180326MARRE,19-Mar-26
1186981,-538.24,180326MARRE,19-Mar-26
1184256,-534.49,180326MARRE,19-Mar-26
1166046,-526.94,180326MARRE,19-Mar-26
1239297,-525.08,180326MARRE,19-Mar-26
32282,-521.56,180326MARRE,19-Mar-26
1189910,-521.18,180326MARRE,19-Mar-26
271364,-520,180326MARRE,19-Mar-26
504968,-520,180326MARRE,19-Mar-26
517225,-520,180326MARRE,19-Mar-26
1236876,-517.55,180326MARRE,19-Mar-26
1228287,-515.67,180326MARRE,19-Mar-26
917322,-514.7,180326MARRE,19-Mar-26
860304,-514.5,180326MARRE,19-Mar-26
22483,-513.25,180326MARRE,19-Mar-26
1219590,-512.61,180326MARRE,19-Mar-26
1182067,-512.3,180326MARRE,19-Mar-26
1240894,-508.29,180326MARRE,19-Mar-26
1181844,-508.14,180326MARRE,19-Mar-26
1225623,-508.14,180326MARRE,19-Mar-26
538118,-507.5,180326MARRE,19-Mar-26
581135,-507.5,180326MARRE,19-Mar-26
1263941,-500.53,180326MARRE,19-Mar-26
323796,-500,180326MARRE,19-Mar-26
387264,-500,180326MARRE,19-Mar-26
439602,-500,180326MARRE,19-Mar-26
552347,-500,180326MARRE,19-Mar-26
1190090,-497.79,180326MARRE,19-Mar-26
108308,-495.48,180326MARRE,19-Mar-26
1221245,-494.96,180326MARRE,19-Mar-26
1228576,-491.04,180326MARRE,19-Mar-26
1263517,-489.87,180326MARRE,19-Mar-26
1254411,-488.2,180326MARRE,19-Mar-26
35540,-459.9427998,180326MARRE,19-Mar-26
1244282,-458.26,180326MARRE,19-Mar-26
1191187,-454.5,180326MARRE,19-Mar-26
56873,-454.3,180326MARRE,19-Mar-26
1192192,-444.15,180326MARRE,19-Mar-26
1227267,-439.45,180326MARRE,19-Mar-26
1183860,-438.6,180326MARRE,19-Mar-26
1181484,-437.25,180326MARRE,19-Mar-26
1220317,-436.96,180326MARRE,19-Mar-26
909923,-426.12,180326MARRE,19-Mar-26
1232453,-424.39,180326MARRE,19-Mar-26
1257009,-424.39,180326MARRE,19-Mar-26
70462,-421.49,180326MARRE,19-Mar-26
55520,-421.4,180326MARRE,19-Mar-26
265233,-420,180326MARRE,19-Mar-26
287928,-420,180326MARRE,19-Mar-26
525741,-420,180326MARRE,19-Mar-26
564457,-420,180326MARRE,19-Mar-26
584160,-420,180326MARRE,19-Mar-26
1181484,-419.26,180326MARRE,19-Mar-26
1230885,-416.92,180326MARRE,19-Mar-26
174556,-413,180326MARRE,19-Mar-26
1224753,-411.5,180326MARRE,19-Mar-26
1220786,-409.95,180326MARRE,19-Mar-26
253705,-408.7,180326MARRE,19-Mar-26
1178353,-405.13,180326MARRE,19-Mar-26
518032,-400,180326MARRE,19-Mar-26
1190122,-398.98,180326MARRE,19-Mar-26
268817,-391.17,180326MARRE,19-Mar-26
1231271,-390.65,180326MARRE,19-Mar-26
1220241,-386.75,180326MARRE,19-Mar-26
1239483,-385.81,180326MARRE,19-Mar-26
26214,-384.96,180326MARRE,19-Mar-26
1230182,-382.05,180326MARRE,19-Mar-26
1189365,-380.16,180326MARRE,19-Mar-26
1220724,-380.04,180326MARRE,19-Mar-26
1179866,-376.4,180326MARRE,19-Mar-26
1185971,-373.57,180326MARRE,19-Mar-26
226359,-370,180326MARRE,19-Mar-26
479907,-370,180326MARRE,19-Mar-26
1007918,-369.94,180326MARRE,19-Mar-26
178685,-363.2,180326MARRE,19-Mar-26
1212032,-356.63,180326MARRE,19-Mar-26
242877,-356.6,180326MARRE,19-Mar-26
20195,-355.74,180326MARRE,19-Mar-26
284621,-350.93,180326MARRE,19-Mar-26
1220349,-349.88,180326MARRE,19-Mar-26
1291158,-349.38,180326MARRE,19-Mar-26
1231270,-347.24,180326MARRE,19-Mar-26
1181484,-344.52,180326MARRE,19-Mar-26
1185170,-343.28,180326MARRE,19-Mar-26
1181484,-336.77,180326MARRE,19-Mar-26
799038,-334.52,180326MARRE,19-Mar-26
1181484,-331.91,180326MARRE,19-Mar-26
30853,-330.4,180326MARRE,19-Mar-26
1181484,-329.97,180326MARRE,19-Mar-26
1220185,-328.4,180326MARRE,19-Mar-26
1260102,-318.52,180326MARRE,19-Mar-26
1220437,-309.16,180326MARRE,19-Mar-26
1216743,-306.77,180326MARRE,19-Mar-26
182274,-306.56,180326MARRE,19-Mar-26
1181727,-304.88,180326MARRE,19-Mar-26
1253175,-303.84,180326MARRE,19-Mar-26
275523,-302.32,180326MARRE,19-Mar-26
1180498,-300.39,180326MARRE,19-Mar-26
143876,-300,180326MARRE,19-Mar-26
262475,-300,180326MARRE,19-Mar-26
461785,-300,180326MARRE,19-Mar-26
1178398,-297.5,180326MARRE,19-Mar-26
1258121,-296.41,180326MARRE,19-Mar-26
213992,-290.78,180326MARRE,19-Mar-26
1216854,-288.75,180326MARRE,19-Mar-26
1288653,-288,180326MARRE,19-Mar-26
41353,-287.33,180326MARRE,19-Mar-26
1235032,-283.59,180326MARRE,19-Mar-26
103868,-282.28,180326MARRE,19-Mar-26
1215429,-281.36,180326MARRE,19-Mar-26
1234589,-279.48,180326MARRE,19-Mar-26
1181484,-272.71,180326MARRE,19-Mar-26
1237527,-272.42,180326MARRE,19-Mar-26
954427,-264.73,180326MARRE,19-Mar-26
1271676,-258.58,180326MARRE,19-Mar-26
1180623,-258.43,180326MARRE,19-Mar-26
1234249,-257.77,180326MARRE,19-Mar-26
204460,-257.5,180326MARRE,19-Mar-26
265534,-257.5,180326MARRE,19-Mar-26
281207,-257.5,180326MARRE,19-Mar-26
318206,-257.5,180326MARRE,19-Mar-26
403401,-257.5,180326MARRE,19-Mar-26
453607,-257.5,180326MARRE,19-Mar-26
498811,-257.5,180326MARRE,19-Mar-26
505631,-257.5,180326MARRE,19-Mar-26
552276,-257.5,180326MARRE,19-Mar-26
555102,-257.5,180326MARRE,19-Mar-26
560982,-257.5,180326MARRE,19-Mar-26
1184744,-256.89,180326MARRE,19-Mar-26
1216823,-253.8,180326MARRE,19-Mar-26
1182644,-253.12,180326MARRE,19-Mar-26
271,-251.42,180326MARRE,19-Mar-26
281185,-250,180326MARRE,19-Mar-26
379366,-250,180326MARRE,19-Mar-26
38191,-250,180326MARRE,19-Mar-26
576312,-250,180326MARRE,19-Mar-26
1178164,-246.39,180326MARRE,19-Mar-26
1191252,-246.25,180326MARRE,19-Mar-26
1186463,-245.61,180326MARRE,19-Mar-26
